"SYMBOL","ENTREZID","GO","ONTOLOGY","EVIDENCE","GO_TERM"
"ALOX15","246","GO:0001503","BP","ISS","ossification"
"ALOX15","246","GO:0002820","BP","ISS","negative regulation of adaptive immune response"
"ALOX15","246","GO:0004052","MF","IBA","arachidonate 12(S)-lipoxygenase activity"
"ALOX15","246","GO:0004052","MF","IDA","arachidonate 12(S)-lipoxygenase activity"
"ALOX15","246","GO:0005506","MF","ISS","iron ion binding"
"ALOX15","246","GO:0005515","MF","IPI","protein binding"
"ALOX15","246","GO:0005546","MF","IDA","phosphatidylinositol-4,5-bisphosphate binding"
"ALOX15","246","GO:0005811","CC","IDA","lipid droplet"
"ALOX15","246","GO:0005829","CC","IBA","cytosol"
"ALOX15","246","GO:0005829","CC","IDA","cytosol"
"ALOX15","246","GO:0005829","CC","ISS","cytosol"
"ALOX15","246","GO:0005829","CC","TAS","cytosol"
"ALOX15","246","GO:0005886","CC","IBA","plasma membrane"
"ALOX15","246","GO:0005886","CC","ISS","plasma membrane"
"ALOX15","246","GO:0006629","BP","IDA","lipid metabolic process"
"ALOX15","246","GO:0006646","BP","ISS","phosphatidylethanolamine biosynthetic process"
"ALOX15","246","GO:0006954","BP","TAS","inflammatory response"
"ALOX15","246","GO:0009898","CC","IDA","cytoplasmic side of plasma membrane"
"ALOX15","246","GO:0010811","BP","IDA","positive regulation of cell-substrate adhesion"
"ALOX15","246","GO:0016020","CC","IDA","membrane"
"ALOX15","246","GO:0016165","MF","IDA","linoleate 13S-lipoxygenase activity"
"ALOX15","246","GO:0019369","BP","IBA","arachidonic acid metabolic process"
"ALOX15","246","GO:0019369","BP","IDA","arachidonic acid metabolic process"
"ALOX15","246","GO:0019369","BP","NAS","arachidonic acid metabolic process"
"ALOX15","246","GO:0019372","BP","IBA","lipoxygenase pathway"
"ALOX15","246","GO:0019372","BP","IDA","lipoxygenase pathway"
"ALOX15","246","GO:0019372","BP","TAS","lipoxygenase pathway"
"ALOX15","246","GO:0019395","BP","ISS","fatty acid oxidation"
"ALOX15","246","GO:0030282","BP","ISS","bone mineralization"
"ALOX15","246","GO:0030838","BP","ISS","positive regulation of actin filament polymerization"
"ALOX15","246","GO:0034440","BP","IBA","lipid oxidation"
"ALOX15","246","GO:0034976","BP","ISS","response to endoplasmic reticulum stress"
"ALOX15","246","GO:0035358","BP","ISS","regulation of peroxisome proliferator activated receptor signaling pathway"
"ALOX15","246","GO:0035963","BP","IMP","cellular response to interleukin-13"
"ALOX15","246","GO:0042060","BP","ISS","wound healing"
"ALOX15","246","GO:0042759","BP","TAS","long-chain fatty acid biosynthetic process"
