"gene_symbol","entrez_id","kegg_gene_id","pathway_id"
"ALOX15","246","hsa:246","hsa00590"
"ALOX15","246","hsa:246","hsa00591"
"ALOX15","246","hsa:246","hsa01100"
"ALOX15","246","hsa:246","hsa04148"
"ALOX15","246","hsa:246","hsa04216"
"ALOX15","246","hsa:246","hsa04217"
"ALOX15","246","hsa:246","hsa04726"
"ARG1","383","hsa:383","hsa00220"
"ARG1","383","hsa:383","hsa00330"
"ARG1","383","hsa:383","hsa01100"
"ARG1","383","hsa:383","hsa01230"
"ARG1","383","hsa:383","hsa04148"
"ARG1","383","hsa:383","hsa05146"
"CLEC4D","338339","hsa:338339","hsa04625"
"CXCL10","3627","hsa:3627","hsa04060"
"CXCL10","3627","hsa:3627","hsa04061"
"CXCL10","3627","hsa:3627","hsa04062"
"CXCL10","3627","hsa:3627","hsa04620"
"CXCL10","3627","hsa:3627","hsa04622"
"CXCL10","3627","hsa:3627","hsa04623"
"CXCL10","3627","hsa:3627","hsa04657"
"CXCL10","3627","hsa:3627","hsa04668"
"CXCL10","3627","hsa:3627","hsa05160"
"CXCL10","3627","hsa:3627","hsa05164"
"CXCL10","3627","hsa:3627","hsa05169"
"CXCL10","3627","hsa:3627","hsa05171"
"HRH4","59340","hsa:59340","hsa04080"
"IDO1","3620","hsa:3620","hsa00380"
"IDO1","3620","hsa:3620","hsa01100"
"IDO1","3620","hsa:3620","hsa01240"
"IDO1","3620","hsa:3620","hsa05143"
"IL5RA","3568","hsa:3568","hsa04060"
"IL5RA","3568","hsa:3568","hsa04630"
"IL5RA","3568","hsa:3568","hsa04640"
"IL5RA","3568","hsa:3568","hsa05200"
"AQP4","361","hsa:361","hsa04962"
"AQP4","361","hsa:361","hsa04976"
"GSS","2937","hsa:2937","hsa00270"
"GSS","2937","hsa:2937","hsa00480"
"GSS","2937","hsa:2937","hsa01100"
"GSS","2937","hsa:2937","hsa01240"
"GSS","2937","hsa:2937","hsa04216"
"IL6R","3570","hsa:3570","hsa01521"
"IL6R","3570","hsa:3570","hsa04060"
"IL6R","3570","hsa:3570","hsa04061"
"IL6R","3570","hsa:3570","hsa04066"
"IL6R","3570","hsa:3570","hsa04151"
"IL6R","3570","hsa:3570","hsa04630"
"IL6R","3570","hsa:3570","hsa04640"
"IL6R","3570","hsa:3570","hsa04659"
"IL6R","3570","hsa:3570","hsa04932"
"IL6R","3570","hsa:3570","hsa05163"
"IL6R","3570","hsa:3570","hsa05171"
"IL6R","3570","hsa:3570","hsa05200"
