"dataset","series","gene_symbol","n_probes","matched_probes","n_sepsis","n_control","mean_sepsis","mean_control","median_sepsis","median_control","logFC_sepsis_minus_control","p_value_wilcoxon","direction","adj_p_value_BH"
"GSE13205","GSE13205_series1","AQP4",5,"210066_s_at;210067_at;210068_s_at;210906_x_at;226228_at",13,8,2.83977966061538,7.397158545,2.51347514,7.36832907,-4.55737888438462,0.000191734406378165,"lower_in_sepsis",0.000881978269339561
"GSE13205","GSE13205_series1","CHI3L1",2,"209395_at;209396_s_at",13,8,7.33033531538462,1.897852839375,7.85035875,1.602845825,5.43248247600962,0.000191734406378165,"higher_in_sepsis",0.000881978269339561
"GSE13205","GSE13205_series1","GSS",2,"201415_at;211630_s_at",13,8,7.57772210769231,6.6098474375,7.5294693,6.574525775,0.967874670192307,0.000191734406378165,"higher_in_sepsis",0.000881978269339561
"GSE13205","GSE13205_series1","PPP1R1C",2,"1555462_at;228646_at",13,8,3.01600896396154,5.5145650125,3.2077245,5.594394775,-2.49855604853846,0.000191734406378165,"lower_in_sepsis",0.000881978269339561
"GSE13205","GSE13205_series1","SLPI",1,"203021_at",13,8,11.6160473076923,5.80255155,11.562993,5.77899,5.81349575769231,0.000191734406378165,"higher_in_sepsis",0.000881978269339561
"GSE13205","GSE13205_series1","IL6R",3,"205945_at;217489_s_at;226333_at",13,8,7.99632891794872,5.43169580833333,7.7913155,5.50215466666667,2.56463310961538,0.000254941211469428,"higher_in_sepsis",0.000977274643966141
"GSE13205","GSE13205_series1","SAA2",2,"208607_s_at;214456_x_at",13,8,9.69458180384615,4.16939083125,10.02606975,4.005832125,5.52519097259615,0.000337305875096664,"higher_in_sepsis",0.00110829073246047
"GSE13205","GSE13205_series1","KREMEN1",4,"224534_at;227250_at;234843_s_at;235370_at",13,8,4.780068325,5.92667611875,4.693587075,5.9630653125,-1.14660779375,0.000758360458410832,"lower_in_sepsis",0.00218028631793114
"GSE13205","GSE13205_series1","CUTALP",2,"1555892_s_at;231828_at",13,8,5.22409161538462,5.6530180625,5.4381087,5.6632483,-0.428926447115384,0.0326459989332387,"lower_in_sepsis",0.0834286639404988
"GSE13205","GSE13205_series1","HP",2,"206697_s_at;208470_s_at",13,8,5.00215278461538,3.9435723125,4.82155605,3.92549055,1.05858047211538,0.0390187167357497,"higher_in_sepsis",0.0897430484922243
"GSE13205","GSE13205_series1","PCOLCE2",1,"219295_s_at",13,8,5.40121972307692,6.0724476375,5.6827426,6.378803,-0.671227914423077,0.0647866581786203,"lower_in_sepsis",0.124174428175689
"GSE13205","GSE13205_series1","ZNF608",2,"229817_at;232303_at",13,8,5.27265876153846,4.5209434625,5.1472445,4.605317925,0.751715299038461,0.0647866581786203,"higher_in_sepsis",0.124174428175689
"GSE13205","GSE13205_series1","BMX",1,"206464_at",13,8,3.3848907,2.00497439875,3.359379,1.7868381,1.37991630125,0.103214543297489,"higher_in_sepsis",0.182610345834019
"GSE13205","GSE13205_series1","HRH4",2,"221169_s_at;221170_at",13,8,2.46381609692308,1.86492389375,2.7096174,1.8654912675,0.598892203173077,0.180316025999959,"higher_in_sepsis",0.259204287374941
"GSE13205","GSE13205_series1","IDO1",1,"210029_at",13,8,5.3235099,6.0072635875,4.9698133,6.1484132,-0.6837536875,0.180316025999959,"lower_in_sepsis",0.259204287374941
"GSE13205","GSE13205_series1","TPST1",1,"204140_at",13,8,5.1512971,4.4851253125,5.2960315,4.93914685,0.6661717875,0.180316025999959,"higher_in_sepsis",0.259204287374941
"GSE13205","GSE13205_series1","CXCL10",1,"204533_at",13,8,3.29202003846154,4.0646103875,2.4352503,4.460607,-0.772590349038462,0.404936185979212,"lower_in_sepsis",0.547854839854228
"GSE13205","GSE13205_series1","MMP8",1,"231688_at",13,8,2.358977725,2.05904967875,1.7992179,2.3714389,0.29992804625,0.538174526798082,"higher_in_sepsis",0.687667450908661
"GSE13205","GSE13205_series1","IL5RA",1,"211516_at",13,8,2.81661617692308,2.68401479125,3.4307387,3.28998025,0.132601385673077,0.587023005418573,"higher_in_sepsis",0.710606796033009
"GSE13205","GSE13205_series1","MCEMP1",1,"235568_at",13,8,4.22980339230769,4.0676617625,4.5665216,4.2214595,0.162141629807692,0.690398923682605,"higher_in_sepsis",0.778346406437991
"GSE13205","GSE13205_series1","ARG1",1,"206177_s_at",13,8,3.61419727692308,3.4516552,3.5854967,3.7077585,0.162542076923077,0.744505258331992,"higher_in_sepsis",0.778346406437991
"GSE13205","GSE13205_series1","LINC00189",1,"1553607_at",13,8,1.19592033923077,1.05221832875,0.83154297,1.31183845,0.143702010480769,0.744505258331992,"higher_in_sepsis",0.778346406437991
"GSE13205","GSE13205_series1","ANKRD22",2,"238439_at;239196_at",13,8,3.65859181269231,3.66260235,3.46278105,3.556121575,-0.00401053730769219,0.799903195381623,"lower_in_sepsis",0.799903195381623
