"dataset","series","gene_symbol","n_probes","matched_probes","n_sepsis","n_control","auc_sepsis_control","auc_abs_directional","mean_sepsis","mean_control","direction"
"GSE13205","GSE13205_series1","AQP4",5,"210066_s_at;210067_at;210068_s_at;210906_x_at;226228_at",13,8,0,1,2.83977966061538,7.397158545,"lower_in_sepsis"
"GSE13205","GSE13205_series1","CHI3L1",2,"209395_at;209396_s_at",13,8,1,1,7.33033531538462,1.897852839375,"higher_in_sepsis"
"GSE13205","GSE13205_series1","GSS",2,"201415_at;211630_s_at",13,8,1,1,7.57772210769231,6.6098474375,"higher_in_sepsis"
"GSE13205","GSE13205_series1","PPP1R1C",2,"1555462_at;228646_at",13,8,0,1,3.01600896396154,5.5145650125,"lower_in_sepsis"
"GSE13205","GSE13205_series1","SLPI",1,"203021_at",13,8,1,1,11.6160473076923,5.80255155,"higher_in_sepsis"
"GSE13205","GSE13205_series1","IL6R",3,"205945_at;217489_s_at;226333_at",13,8,0.990384615384615,0.990384615384615,7.99632891794872,5.43169580833333,"higher_in_sepsis"
"GSE13205","GSE13205_series1","SAA2",2,"208607_s_at;214456_x_at",13,8,0.980769230769231,0.980769230769231,9.69458180384615,4.16939083125,"higher_in_sepsis"
"GSE13205","GSE13205_series1","KREMEN1",4,"224534_at;227250_at;234843_s_at;235370_at",13,8,0.0480769230769231,0.951923076923077,4.780068325,5.92667611875,"lower_in_sepsis"
"GSE13205","GSE13205_series1","CUTALP",2,"1555892_s_at;231828_at",13,8,0.211538461538462,0.788461538461538,5.22409161538462,5.6530180625,"lower_in_sepsis"
"GSE13205","GSE13205_series1","HP",2,"206697_s_at;208470_s_at",13,8,0.778846153846154,0.778846153846154,5.00215278461538,3.9435723125,"higher_in_sepsis"
"GSE13205","GSE13205_series1","PCOLCE2",1,"219295_s_at",13,8,0.25,0.75,5.40121972307692,6.0724476375,"lower_in_sepsis"
"GSE13205","GSE13205_series1","ZNF608",2,"229817_at;232303_at",13,8,0.75,0.75,5.27265876153846,4.5209434625,"higher_in_sepsis"
"GSE13205","GSE13205_series1","BMX",1,"206464_at",13,8,0.721153846153846,0.721153846153846,3.3848907,2.00497439875,"higher_in_sepsis"
"GSE13205","GSE13205_series1","HRH4",2,"221169_s_at;221170_at",13,8,0.682692307692308,0.682692307692308,2.46381609692308,1.86492389375,"higher_in_sepsis"
"GSE13205","GSE13205_series1","IDO1",1,"210029_at",13,8,0.317307692307692,0.682692307692308,5.3235099,6.0072635875,"lower_in_sepsis"
"GSE13205","GSE13205_series1","TPST1",1,"204140_at",13,8,0.682692307692308,0.682692307692308,5.1512971,4.4851253125,"higher_in_sepsis"
"GSE13205","GSE13205_series1","CXCL10",1,"204533_at",13,8,0.384615384615385,0.615384615384615,3.29202003846154,4.0646103875,"lower_in_sepsis"
"GSE13205","GSE13205_series1","MMP8",1,"231688_at",13,8,0.586538461538462,0.586538461538462,2.358977725,2.05904967875,"higher_in_sepsis"
"GSE13205","GSE13205_series1","IL5RA",1,"211516_at",13,8,0.576923076923077,0.576923076923077,2.81661617692308,2.68401479125,"higher_in_sepsis"
"GSE13205","GSE13205_series1","MCEMP1",1,"235568_at",13,8,0.557692307692308,0.557692307692308,4.22980339230769,4.0676617625,"higher_in_sepsis"
"GSE13205","GSE13205_series1","ARG1",1,"206177_s_at",13,8,0.548076923076923,0.548076923076923,3.61419727692308,3.4516552,"higher_in_sepsis"
"GSE13205","GSE13205_series1","LINC00189",1,"1553607_at",13,8,0.548076923076923,0.548076923076923,1.19592033923077,1.05221832875,"higher_in_sepsis"
"GSE13205","GSE13205_series1","ANKRD22",2,"238439_at;239196_at",13,8,0.461538461538462,0.538461538461538,3.65859181269231,3.66260235,"lower_in_sepsis"
