"dataset","series","gene_symbol","n_probes_in_GPL570","n_probes_in_expression_matrix","matched_probes"
"GSE13205","GSE13205_series1","ADGRE4P",0,0,""
"GSE13205","GSE13205_series1","ALOX15",2,0,""
"GSE13205","GSE13205_series1","ANKRD22",4,2,"238439_at;239196_at"
"GSE13205","GSE13205_series1","AQP4",80,5,"210066_s_at;210067_at;210068_s_at;210906_x_at;226228_at"
"GSE13205","GSE13205_series1","ARG1",28,1,"206177_s_at"
"GSE13205","GSE13205_series1","BMX",10,1,"206464_at"
"GSE13205","GSE13205_series1","CHI3L1",90,2,"209395_at;209396_s_at"
"GSE13205","GSE13205_series1","CLC",2,0,""
"GSE13205","GSE13205_series1","CLEC4D",28,0,""
"GSE13205","GSE13205_series1","CUTALP",16,2,"1555892_s_at;231828_at"
"GSE13205","GSE13205_series1","CXCL10",3,1,"204533_at"
"GSE13205","GSE13205_series1","GSS",12,2,"201415_at;211630_s_at"
"GSE13205","GSE13205_series1","HP",18,2,"206697_s_at;208470_s_at"
"GSE13205","GSE13205_series1","HRH4",12,2,"221169_s_at;221170_at"
"GSE13205","GSE13205_series1","IDO1",2,1,"210029_at"
"GSE13205","GSE13205_series1","IL5RA",88,1,"211516_at"
"GSE13205","GSE13205_series1","IL6R",210,3,"205945_at;217489_s_at;226333_at"
"GSE13205","GSE13205_series1","KREMEN1",105,4,"224534_at;227250_at;234843_s_at;235370_at"
"GSE13205","GSE13205_series1","LINC00189",4,1,"1553607_at"
"GSE13205","GSE13205_series1","LOC102723549",0,0,""
"GSE13205","GSE13205_series1","MCEMP1",2,1,"235568_at"
"GSE13205","GSE13205_series1","MIR3939",0,0,""
"GSE13205","GSE13205_series1","MIR548A1",0,0,""
"GSE13205","GSE13205_series1","MMP8",44,1,"231688_at"
"GSE13205","GSE13205_series1","PCOLCE2",2,1,"219295_s_at"
"GSE13205","GSE13205_series1","PPP1R1C",24,2,"1555462_at;228646_at"
"GSE13205","GSE13205_series1","SAA2",44,2,"208607_s_at;214456_x_at"
"GSE13205","GSE13205_series1","SLPI",2,1,"203021_at"
"GSE13205","GSE13205_series1","TPST1",50,1,"204140_at"
"GSE13205","GSE13205_series1","WFDC1",18,0,""
"GSE13205","GSE13205_series1","ZNF608",60,2,"229817_at;232303_at"
