"SYMBOL","GO","ONTOLOGY","EVIDENCE"
"WFDC1","GO:0001558","BP","IBA"
"WFDC1","GO:0003674","MF","ND"
"WFDC1","GO:0004867","MF","IEA"
"WFDC1","GO:0005615","CC","IBA"
"WFDC1","GO:0005615","CC","NAS"
"WFDC1","GO:0030308","BP","NAS"
"WFDC1","GO:0050728","BP","IEA"
"WFDC1","GO:0061045","BP","IEA"
"MMP8","GO:0004175","MF","IMP"
"MMP8","GO:0004222","MF","IBA"
"MMP8","GO:0004222","MF","TAS"
"MMP8","GO:0004252","MF","IDA"
"MMP8","GO:0004252","MF","TAS"
"MMP8","GO:0005576","CC","TAS"
"MMP8","GO:0005615","CC","IBA"
"MMP8","GO:0005615","CC","IDA"
"MMP8","GO:0006508","BP","IDA"
"MMP8","GO:0008233","MF","IDA"
"MMP8","GO:0008270","MF","TAS"
"MMP8","GO:0022617","BP","TAS"
"MMP8","GO:0030198","BP","IBA"
"MMP8","GO:0030574","BP","IBA"
"MMP8","GO:0030574","BP","TAS"
"MMP8","GO:0032760","BP","IMP"
"MMP8","GO:0035580","CC","TAS"
"MMP8","GO:0035987","BP","IEP"
"MMP8","GO:0043120","MF","IDA"
"MMP8","GO:0062023","CC","HDA"
"MMP8","GO:0071222","BP","ISS"
"MMP8","GO:0150078","BP","ISS"
"MMP8","GO:1903265","BP","ISS"
"MMP8","GO:1903980","BP","ISS"
"MMP8","GO:1904724","CC","TAS"
"PCOLCE2","GO:0005518","MF","IBA"
"PCOLCE2","GO:0005518","MF","IDA"
"PCOLCE2","GO:0005576","CC","IEA"
"PCOLCE2","GO:0008201","MF","IDA"
"PCOLCE2","GO:0016504","MF","IBA"
"PCOLCE2","GO:0016504","MF","IDA"
"PCOLCE2","GO:1990830","BP","IEA"
"CXCL10","GO:0005102","MF","TAS"
"CXCL10","GO:0005515","MF","IPI"
"CXCL10","GO:0005576","CC","IDA"
"CXCL10","GO:0005576","CC","TAS"
"CXCL10","GO:0005615","CC","IBA"
"CXCL10","GO:0006935","BP","IDA"
"CXCL10","GO:0006954","BP","IBA"
"CXCL10","GO:0007165","BP","TAS"
"CXCL10","GO:0007166","BP","TAS"
"CXCL10","GO:0007186","BP","IMP"
"CXCL10","GO:0007189","BP","IDA"
"CXCL10","GO:0007267","BP","TAS"
"CXCL10","GO:0007517","BP","TAS"
"CXCL10","GO:0008009","MF","IBA"
"CXCL10","GO:0008009","MF","IDA"
"CXCL10","GO:0008015","BP","TAS"
"CXCL10","GO:0008201","MF","IMP"
"CXCL10","GO:0008284","BP","IEA"
"CXCL10","GO:0008603","MF","TAS"
"CXCL10","GO:0009897","CC","IEA"
"CXCL10","GO:0010332","BP","IEA"
"CXCL10","GO:0010818","BP","IMP"
"CXCL10","GO:0010819","BP","IDA"
"CXCL10","GO:0010996","BP","IEA"
"CXCL10","GO:0016525","BP","IDA"
"CXCL10","GO:0030593","BP","IBA"
"CXCL10","GO:0033280","BP","IEA"
"CXCL10","GO:0034605","BP","IEA"
"CXCL10","GO:0042056","MF","IDA"
"CXCL10","GO:0042118","BP","IGI"
"CXCL10","GO:0042127","BP","IDA"
"CXCL10","GO:0042981","BP","IDA"
"CXCL10","GO:0045236","MF","IBA"
"CXCL10","GO:0045662","BP","IEA"
"CXCL10","GO:0045944","BP","TAS"
"CXCL10","GO:0048248","MF","IDA"
"CXCL10","GO:0050918","BP","IEA"
"CXCL10","GO:0051281","BP","IDA"
"CXCL10","GO:0061844","BP","IBA"
"CXCL10","GO:0070098","BP","IBA"
"CXCL10","GO:0070098","BP","IMP"
"CXCL10","GO:0071222","BP","IBA"
"CXCL10","GO:0071222","BP","IMP"
"CXCL10","GO:0090026","BP","IDA"
"CXCL10","GO:0097398","BP","IEA"
"CXCL10","GO:0098586","BP","IEP"
"CXCL10","GO:0140374","BP","IEP"
"CXCL10","GO:1901509","BP","IDA"
"CXCL10","GO:1901740","BP","IEA"
"CXCL10","GO:2000406","BP","IDA"
"SAA2","GO:0005515","MF","IPI"
"SAA2","GO:0006953","BP","IEA"
"SAA2","GO:0034364","CC","IEA"
"SAA2","GO:0070062","CC","HDA"
"SLPI","GO:0003677","MF","IDA"
"SLPI","GO:0003729","MF","IDA"
"SLPI","GO:0004866","MF","IDA"
"SLPI","GO:0004867","MF","IBA"
"SLPI","GO:0004867","MF","IDA"
"SLPI","GO:0005515","MF","IPI"
"SLPI","GO:0005576","CC","TAS"
"SLPI","GO:0005615","CC","IBA"
"SLPI","GO:0005615","CC","IDA"
"SLPI","GO:0005794","CC","IDA"
"SLPI","GO:0006955","BP","ISS"
"SLPI","GO:0019731","BP","IBA"
"SLPI","GO:0019731","BP","IDA"
"SLPI","GO:0019731","BP","ISS"
"SLPI","GO:0019899","MF","IPI"
"SLPI","GO:0032091","BP","IDA"
"SLPI","GO:0032496","BP","ISS"
"SLPI","GO:0035580","CC","TAS"
"SLPI","GO:0035821","BP","IDA"
"SLPI","GO:0045071","BP","IDA"
"SLPI","GO:0045087","BP","IBA"
"SLPI","GO:0045087","BP","ISS"
"SLPI","GO:0062023","CC","HDA"
"SLPI","GO:0070062","CC","HDA"
"CHI3L1","GO:0005201","MF","NAS"
"CHI3L1","GO:0005515","MF","IPI"
"CHI3L1","GO:0005576","CC","IBA"
"CHI3L1","GO:0005576","CC","TAS"
"CHI3L1","GO:0005615","CC","HDA"
"CHI3L1","GO:0005615","CC","IDA"
"CHI3L1","GO:0005737","CC","ISS"
"CHI3L1","GO:0005783","CC","ISS"
"CHI3L1","GO:0005975","BP","IEA"
"CHI3L1","GO:0006032","BP","IBA"
"CHI3L1","GO:0006915","BP","IEA"
"CHI3L1","GO:0006954","BP","IEP"
"CHI3L1","GO:0007250","BP","ISS"
"CHI3L1","GO:0008061","MF","IBA"
"CHI3L1","GO:0008061","MF","IDA"
