"gene_symbol","entrez_id","kegg_gene","pathway_id","pathway_name","is_metabolic_or_immune_pathway"
"CXCL10","3627","hsa:3627","path:hsa04060",,FALSE
"CXCL10","3627","hsa:3627","path:hsa04061",,FALSE
"CXCL10","3627","hsa:3627","path:hsa04062",,FALSE
"CXCL10","3627","hsa:3627","path:hsa04620",,FALSE
"CXCL10","3627","hsa:3627","path:hsa04622",,FALSE
"CXCL10","3627","hsa:3627","path:hsa04623",,FALSE
"CXCL10","3627","hsa:3627","path:hsa04657",,FALSE
"CXCL10","3627","hsa:3627","path:hsa04668",,FALSE
"CXCL10","3627","hsa:3627","path:hsa05160",,FALSE
"CXCL10","3627","hsa:3627","path:hsa05164",,FALSE
"CXCL10","3627","hsa:3627","path:hsa05169",,FALSE
"CXCL10","3627","hsa:3627","path:hsa05171",,FALSE
"GSS","2937","hsa:2937","path:hsa00270",,FALSE
"GSS","2937","hsa:2937","path:hsa00480",,FALSE
"GSS","2937","hsa:2937","path:hsa01100",,FALSE
"GSS","2937","hsa:2937","path:hsa01240",,FALSE
"GSS","2937","hsa:2937","path:hsa04216",,FALSE
"AQP4","361","hsa:361","path:hsa04962",,FALSE
"AQP4","361","hsa:361","path:hsa04976",,FALSE
"IL6R","3570","hsa:3570","path:hsa01521",,FALSE
"IL6R","3570","hsa:3570","path:hsa04060",,FALSE
"IL6R","3570","hsa:3570","path:hsa04061",,FALSE
"IL6R","3570","hsa:3570","path:hsa04066",,FALSE
"IL6R","3570","hsa:3570","path:hsa04151",,FALSE
"IL6R","3570","hsa:3570","path:hsa04630",,FALSE
"IL6R","3570","hsa:3570","path:hsa04640",,FALSE
"IL6R","3570","hsa:3570","path:hsa04659",,FALSE
"IL6R","3570","hsa:3570","path:hsa04932",,FALSE
"IL6R","3570","hsa:3570","path:hsa05163",,FALSE
"IL6R","3570","hsa:3570","path:hsa05171",,FALSE
"IL6R","3570","hsa:3570","path:hsa05200",,FALSE
"CLEC4D","338339","hsa:338339","path:hsa04625",,FALSE
"ARG1","383","hsa:383","path:hsa00220",,FALSE
"ARG1","383","hsa:383","path:hsa00330",,FALSE
"ARG1","383","hsa:383","path:hsa01100",,FALSE
"ARG1","383","hsa:383","path:hsa01230",,FALSE
"ARG1","383","hsa:383","path:hsa04148",,FALSE
"ARG1","383","hsa:383","path:hsa05146",,FALSE
"HRH4","59340","hsa:59340","path:hsa04080",,FALSE
"ALOX15","246","hsa:246","path:hsa00590",,FALSE
"ALOX15","246","hsa:246","path:hsa00591",,FALSE
"ALOX15","246","hsa:246","path:hsa01100",,FALSE
"ALOX15","246","hsa:246","path:hsa04148",,FALSE
"ALOX15","246","hsa:246","path:hsa04216",,FALSE
"ALOX15","246","hsa:246","path:hsa04217",,FALSE
"ALOX15","246","hsa:246","path:hsa04726",,FALSE
"IL5RA","3568","hsa:3568","path:hsa04060",,FALSE
"IL5RA","3568","hsa:3568","path:hsa04630",,FALSE
"IL5RA","3568","hsa:3568","path:hsa04640",,FALSE
"IL5RA","3568","hsa:3568","path:hsa05200",,FALSE
"IDO1","3620","hsa:3620","path:hsa00380",,FALSE
"IDO1","3620","hsa:3620","path:hsa01100",,FALSE
"IDO1","3620","hsa:3620","path:hsa01240",,FALSE
"IDO1","3620","hsa:3620","path:hsa05143",,FALSE
