"SYMBOL","ENTREZID","GENENAME"
"ALOX15","246","arachidonate 15-lipoxygenase"
"ARG1","383","arginase 1"
"CHI3L1","1116","chitinase 3 like 1"
"CLEC4D","338339","C-type lectin domain family 4 member D"
"CXCL10","3627","C-X-C motif chemokine ligand 10"
"HRH4","59340","histamine receptor H4"
"IDO1","3620","indoleamine 2,3-dioxygenase 1"
"IL5RA","3568","interleukin 5 receptor subunit alpha"
"SLPI","6590","secretory leukocyte peptidase inhibitor"
"AQP4","361","aquaporin 4"
"BMX","660","BMX non-receptor tyrosine kinase"
"CLC","1178","Charcot-Leyden crystal galectin"
"GSS","2937","glutathione synthetase"
"HP","3240","haptoglobin"
"IL6R","3570","interleukin 6 receptor"
"KREMEN1","83999","kringle containing transmembrane protein 1"
"MCEMP1","199675","mast cell expressed membrane protein 1"
"MMP8","4317","matrix metallopeptidase 8"
"PCOLCE2","26577","procollagen C-endopeptidase enhancer 2"
"SAA2","6289","serum amyloid A2"
"WFDC1","58189","WAP four-disulfide core domain 1"
"ADGRE4P","326342","adhesion G protein-coupled receptor E4, pseudogene"
"ANKRD22","118932","ankyrin repeat domain 22"
"PPP1R1C","151242","protein phosphatase 1 regulatory inhibitor subunit 1C"
"TPST1","8460","tyrosylprotein sulfotransferase 1"
"ZNF608","57507","zinc finger protein 608"
"CUTALP","253039","cutA divalent cation tolerance like, pseudogene"
"LINC00189","193629","long intergenic non-protein coding RNA 189"
"MIR3939","100500857","microRNA 3939"
"MIR548A1","693125","microRNA 548a-1"
