"pathway_id","compound_id","compound_name"
"hsa00590","C00157","Phosphatidylcholine"
"hsa00590","C00219","Arachidonate"
"hsa00590","C00427","Prostaglandin H2"
"hsa00590","C00584","Prostaglandin E2"
"hsa00590","C00639","Prostaglandin F2alpha"
"hsa00590","C00696","Prostaglandin D2"
"hsa00590","C00909","Leukotriene A4"
"hsa00590","C01312","Prostaglandin I2"
"hsa00590","C02165","Leukotriene B4"
"hsa00590","C02166","Leukotriene C4"
"hsa00590","C02198","Thromboxane A2"
"hsa00590","C03577","20-Hydroxyleukotriene E4"
"hsa00590","C04577","15-OxoETE"
"hsa00590","C04671","(5Z)-11alpha-Hydroxy-9,15-dioxoprostanoate"
"hsa00590","C04707","(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-5,13-dienoate"
"hsa00590","C04742","(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate"
"hsa00590","C04758","(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate"
"hsa00590","C04805","5(S)-HETE"
"hsa00590","C04822","8(R)-HPETE"
"hsa00590","C04835","(5Z,13E)-6,9alpha-Epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate"
"hsa00590","C04853","20-OH-Leukotriene B4"
"hsa00590","C05356","5(S)-HPETE"
"hsa00590","C05949","12-Keto-leukotriene B4"
"hsa00590","C05950","20-COOH-Leukotriene B4"
"hsa00590","C05951","Leukotriene D4"
"hsa00590","C05952","Leukotriene E4"
"hsa00590","C05953","Prostaglandin A2"
"hsa00590","C05954","Prostaglandin B2"
"hsa00590","C05955","Prostaglandin C2"
"hsa00590","C05956","Prostaglandin G2"
"hsa00590","C05957","Prostaglandin J2"
"hsa00590","C05958","Delta-12-Prostaglandin J2"
"hsa00590","C05959","11-epi-Prostaglandin F2alpha"
"hsa00590","C05960","15-Keto-prostaglandin F2alpha"
"hsa00590","C05961","6-Keto-prostaglandin F1alpha"
"hsa00590","C05962","6-Keto-prostaglandin E1"
"hsa00590","C05963","Thromboxane B2"
"hsa00590","C05964","11-Dehydro-thromboxane B2"
"hsa00590","C05965","12(S)-HPETE"
"hsa00590","C05966","15(S)-HPETE"
"hsa00590","C06314","Lipoxin A4"
"hsa00590","C06315","Lipoxin B4"
"hsa00590","C06462","Leukotriene F4"
"hsa00590","C13809","9,11,15-Trihydroxy-prosta-5,13-dien-1-oic acid"
"hsa00590","C14717","15-Deoxy-Delta12,14-PGJ2"
"hsa00590","C14732","5-OxoETE"
"hsa00590","C14748","20-HETE"
"hsa00590","C14749","19(S)-HETE"
"hsa00590","C14768","5,6-EET"
"hsa00590","C14769","8,9-EET"
"hsa00590","C14770","11,12-EET"
"hsa00590","C14771","14,15-EET"
"hsa00590","C14772","5,6-DHET"
"hsa00590","C14773","8,9-DHET"
"hsa00590","C14774","11,12-DHET"
"hsa00590","C14775","14,15-DHET"
"hsa00590","C14776","8(S)-HETE"
"hsa00590","C14777","12(S)-HETE"
"hsa00590","C14778","16(R)-HETE"
"hsa00590","C14779","9(S)-HETE"
"hsa00590","C14780","11(R)-HETE"
"hsa00590","C14781","15H-11,12-EETA"
"hsa00590","C14782","11,12,15-THETA"
"hsa00590","C14794","2,3-Dinor-8-iso prostaglandin F2alpha"
"hsa00590","C14795","2,3-Dinor-8-iso prostaglandin F1alpha"
"hsa00590","C14807","12-OxoETE"
"hsa00590","C14808","Hepoxilin A3"
"hsa00590","C14809","Trioxilin A3"
"hsa00590","C14810","Hepoxilin B3"
"hsa00590","C14811","Trioxilin B3"
"hsa00590","C14812","12(R)-HPETE"
"hsa00590","C14813","11H-14,15-EETA"
"hsa00590","C14814","11,14,15-THETA"
"hsa00590","C14815","5,6-Epoxytetraene"
"hsa00590","C14820","11(R)-HPETE"
"hsa00590","C14821","9(S)-HPETE"
"hsa00590","C14822","12(R)-HETE"
"hsa00590","C14823","8(S)-HPETE"
