"gene_symbol","entrez_id","kegg_gene_id","pathway_id","pathway_name","pathway_class","pathway_description","route_major_class","route_subclass","compound_id","compound_name"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00157","Phosphatidylcholine"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00219","Arachidonate"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00427","Prostaglandin H2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00584","Prostaglandin E2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00639","Prostaglandin F2alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00696","Prostaglandin D2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00909","Leukotriene A4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C01312","Prostaglandin I2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C02165","Leukotriene B4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C02166","Leukotriene C4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C02198","Thromboxane A2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C03577","20-Hydroxyleukotriene E4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04577","15-OxoETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04671","(5Z)-11alpha-Hydroxy-9,15-dioxoprostanoate"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04707","(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-5,13-dienoate"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04742","(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04758","(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04805","5(S)-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04822","8(R)-HPETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04835","(5Z,13E)-6,9alpha-Epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04853","20-OH-Leukotriene B4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05356","5(S)-HPETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05949","12-Keto-leukotriene B4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05950","20-COOH-Leukotriene B4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05951","Leukotriene D4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05952","Leukotriene E4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05953","Prostaglandin A2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05954","Prostaglandin B2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05955","Prostaglandin C2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05956","Prostaglandin G2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05957","Prostaglandin J2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05958","Delta-12-Prostaglandin J2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05959","11-epi-Prostaglandin F2alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05960","15-Keto-prostaglandin F2alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05961","6-Keto-prostaglandin F1alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05962","6-Keto-prostaglandin E1"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05963","Thromboxane B2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05964","11-Dehydro-thromboxane B2"
