"gene_symbol","pathway_id","pathway_name","pathway_class","route_major_class","route_subclass","n_compounds_metabolites","example_compounds"
"AQP4","hsa04976","Bile secretion - Homo sapiens (human)","Organismal Systems; Digestive system","Organismal Systems","Digestive system",174,"H2O | CO2 | Acetyl-CoA | 2-Oxoglutarate | D-Glucose | Glutathione | H+ | Choline"
"IDO1","hsa00380","Tryptophan metabolism - Homo sapiens (human)","Metabolism; Amino acid metabolism","Metabolism","Amino acid metabolism",84,"Acetyl-CoA | L-Tryptophan | Anthranilate | 2-Oxoadipate | L-Kynurenine | Indolepyruvate | Acetoacetyl-CoA | Tryptamine"
"ALOX15","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism","Metabolism","Lipid metabolism",79,"Phosphatidylcholine | Arachidonate | Prostaglandin H2 | Prostaglandin E2 | Prostaglandin F2alpha | Prostaglandin D2 | Leukotriene A4 | Prostaglandin I2"
"ARG1","hsa00330","Arginine and proline metabolism - Homo sapiens (human)","Metabolism; Amino acid metabolism","Metabolism","Amino acid metabolism",71,"Peptide | S-Adenosyl-L-methionine | Pyruvate | L-Glutamate | Glyoxylate | L-Arginine | L-Ornithine | Urea"
"GSS","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)","Metabolism; Amino acid metabolism","Metabolism","Amino acid metabolism",68,"S-Adenosyl-L-methionine | S-Adenosyl-L-homocysteine | Pyruvate | L-Alanine | L-Aspartate | Glutathione | Sulfate | L-Serine"
"HRH4","hsa04080","Neuroactive ligand-receptor interaction - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction","Environmental Information Processing","Signaling molecules and interaction",53,"ATP | ADP | UDP | L-Glutamate | Glycine | L-Aspartate | UTP | beta-Alanine"
"ALOX15","hsa04726","Serotonergic synapse - Homo sapiens (human)","Organismal Systems; Nervous system","Organismal Systems","Nervous system",42,"Calcium cation | L-Tryptophan | Diacylglycerol | Arachidonate | Potassium cation | Prostaglandin H2 | 3',5'-Cyclic AMP | Prostaglandin E2"
"GSS","hsa00480","Glutathione metabolism - Homo sapiens (human)","Metabolism; Metabolism of other amino acids","Metabolism","Metabolism of other amino acids",38,"NADPH | NADP+ | Acetyl-CoA | L-Glutamate | Glycine | Glutathione | Ascorbate | L-Ornithine"
"ALOX15","hsa04216","Ferroptosis - Homo sapiens (human)","Cellular Processes; Cell growth and death","Cellular Processes","Cell growth and death",31,"CoA | Acetyl-CoA | L-Glutamate | Hydrogen peroxide | Heme | Glutathione | L-Cysteine | Glutathione disulfide"
"GSS","hsa04216","Ferroptosis - Homo sapiens (human)","Cellular Processes; Cell growth and death","Cellular Processes","Cell growth and death",31,"CoA | Acetyl-CoA | L-Glutamate | Hydrogen peroxide | Heme | Glutathione | L-Cysteine | Glutathione disulfide"
"IL5RA","hsa05200","Pathways in cancer - Homo sapiens (human)","Human Diseases; Cancer: overview","Human Diseases","Cancer: overview",31,"Hydrogen peroxide | DNA | Calcium cation | Fumarate | (S)-Malate | Diacylglycerol | Cholesterol | Androstenedione"
"IL6R","hsa05200","Pathways in cancer - Homo sapiens (human)","Human Diseases; Cancer: overview","Human Diseases","Cancer: overview",31,"Hydrogen peroxide | DNA | Calcium cation | Fumarate | (S)-Malate | Diacylglycerol | Cholesterol | Androstenedione"
"ALOX15","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism","Metabolism","Lipid metabolism",29,"Phosphatidylcholine | Arachidonate | Linoleate | Dihomo-gamma-linolenate | Rumenic acid | (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid | (6Z,9Z,12Z)-Octadecatrienoic acid | Crepenynate"
"ARG1","hsa00220","Arginine biosynthesis - Homo sapiens (human)","Metabolism; Amino acid metabolism","Metabolism","Amino acid metabolism",24,"CO2 | Ammonia | L-Glutamate | 2-Oxoglutarate | L-Aspartate | L-Arginine | L-Glutamine | L-Ornithine"
