"stringId_A","stringId_B","preferredName_A","preferredName_B","ncbiTaxonId","score","nscore","fscore","pscore","ascore","escore","dscore","tscore"
"9606.ENSP00000221804","9606.ENSP00000412209","CLC","IL5RA",9606,0.64,0,0,0,0.451,0,0,0.372
"9606.ENSP00000236826","9606.ENSP00000305651","MMP8","CXCL10",9606,0.416,0,0,0,0,0,0,0.417
"9606.ENSP00000236826","9606.ENSP00000348170","MMP8","HP",9606,0.473,0,0,0,0.265,0,0,0.312
"9606.ENSP00000236826","9606.ENSP00000349446","MMP8","ARG1",9606,0.529,0,0,0,0.238,0,0,0.407
"9606.ENSP00000255409","9606.ENSP00000349446","CHI3L1","ARG1",9606,0.418,0,0,0,0.072,0,0,0.398
"9606.ENSP00000255409","9606.ENSP00000305651","CHI3L1","CXCL10",9606,0.451,0,0,0,0.097,0,0,0.417
"9606.ENSP00000256906","9606.ENSP00000412209","HRH4","IL5RA",9606,0.497,0,0,0,0.422,0,0,0.167
"9606.ENSP00000293761","9606.ENSP00000412209","ALOX15","IL5RA",9606,0.547,0,0,0,0.391,0,0,0.288
"9606.ENSP00000299665","9606.ENSP00000329920","CLEC4D","MCEMP1",9606,0.635,0,0,0,0.415,0,0,0.401
"9606.ENSP00000305651","9606.ENSP00000357470","CXCL10","IL6R",9606,0.497,0,0,0,0.073,0,0,0.48
"9606.ENSP00000305651","9606.ENSP00000349446","CXCL10","ARG1",9606,0.61,0,0,0,0.083,0,0,0.592
"9606.ENSP00000305651","9606.ENSP00000436126","CXCL10","SAA2",9606,0.78,0,0,0,0.056,0,0,0.777
"9606.ENSP00000305651","9606.ENSP00000430950","CXCL10","IDO1",9606,0.832,0,0,0,0.527,0,0,0.661
"9606.ENSP00000342082","9606.ENSP00000456920","SLPI","WFDC1",9606,0.646,0,0,0,0.042,0,0,0.646
"9606.ENSP00000348170","9606.ENSP00000349446","HP","ARG1",9606,0.52,0,0,0,0.28,0,0,0.361
"9606.ENSP00000348170","9606.ENSP00000436126","HP","SAA2",9606,0.751,0,0,0,0.131,0,0,0.726
"9606.ENSP00000349446","9606.ENSP00000430950","ARG1","IDO1",9606,0.775,0,0,0,0.06,0,0,0.77
"9606.ENSP00000357470","9606.ENSP00000412209","IL6R","IL5RA",9606,0.734,0,0,0,0.106,0,0,0.715
