"dataset","gene_or_identifier","mean_expression","sd_expression","min_expression","max_expression","n_samples"
"GSE12624_series1","AAB35476",,,Inf,-Inf,70
"GSE12624_series1","AL110199",,,Inf,-Inf,70
"GSE12624_series1","AL035301",,,Inf,-Inf,70
"GSE12624_series1","NM_001192",,,Inf,-Inf,70
"GSE12624_series1","NM_004718",,,Inf,-Inf,70
"GSE12624_series1","NM_002424",,,Inf,-Inf,70
"GSE12624_series1","NM_003761",,,Inf,-Inf,70
"GSE12624_series1","NM_000500",,,Inf,-Inf,70
"GSE12624_series1","AF247704",,,Inf,-Inf,70
"GSE12624_series1","NM_030674",,,Inf,-Inf,70
"GSE12624_series1","NM_021197",,,Inf,-Inf,70
"GSE12624_series1","AK057549",,,Inf,-Inf,70
"GSE12624_series1","AB002365",,,Inf,-Inf,70
"GSE12624_series1","AB007953",,,Inf,-Inf,70
"GSE12624_series1","M12759",,,Inf,-Inf,70
"GSE12624_series1","NM_005084",,,Inf,-Inf,70
"GSE12624_series1","NM_000582",,,Inf,-Inf,70
"GSE12624_series1","AF074091",,,Inf,-Inf,70
"GSE12624_series1","NM_013363",,,Inf,-Inf,70
"GSE12624_series1","NM_018728",,,Inf,-Inf,70
"GSE13205_series1","AQP4_AS1",,,Inf,-Inf,21
"GSE13205_series1","ZNF655",,,Inf,-Inf,21
"GSE13205_series1","PPP1R1C",,,Inf,-Inf,21
"GSE13205_series1","CTNND1",,,Inf,-Inf,21
"GSE13205_series1","NFE4",,,Inf,-Inf,21
"GSE13205_series1","LINC01098",,,Inf,-Inf,21
"GSE13205_series1","PSAPL1",,,Inf,-Inf,21
"GSE13205_series1","LOC643659",,,Inf,-Inf,21
"GSE13205_series1","MYSM1",,,Inf,-Inf,21
"GSE13205_series1","SNX3",,,Inf,-Inf,21
"GSE13205_series1","RPS3A",,,Inf,-Inf,21
"GSE13205_series1","TGM2",,,Inf,-Inf,21
"GSE13205_series1","NREP",,,Inf,-Inf,21
"GSE13205_series1","GSS",,,Inf,-Inf,21
"GSE13205_series1","SOX4",,,Inf,-Inf,21
"GSE13205_series1","SEPP1",,,Inf,-Inf,21
"GSE13205_series1","CCNC",,,Inf,-Inf,21
"GSE13205_series1","TMED5",,,Inf,-Inf,21
"GSE13205_series1","SERPINA3",,,Inf,-Inf,21
"GSE13205_series1","PITPNB",,,Inf,-Inf,21
"GSE13205_series1","RRP7A",,,Inf,-Inf,21
"GSE13205_series1","CAPN6",,,Inf,-Inf,21
"GSE13205_series1","FBLN1",,,Inf,-Inf,21
"GSE13205_series1","SLPI",,,Inf,-Inf,21
"GSE13205_series1","S100A9",,,Inf,-Inf,21
"GSE13205_series1","NEBL",,,Inf,-Inf,21
