rank_final,gene_symbol,evidence_group,analysis_priority,integrated_score_final_GPL570,GSE13205_GPL570_best_auc_directional,GSE13205_GPL570_best_adj_p,has_GO_annotation,has_KEGG_pathway,has_STRING_interaction_repaired,has_GSE13205_GPL570_probe_mapping,has_GSE13205_GPL570_DE,has_GSE13205_GPL570_AUC
1,IL6R,possible_candidate,medium,7,0.990384615384615,0.0009772746439661,True,True,True,True,True,True
2,HRH4,promising_candidate,high,7,0.682692307692308,0.259204287374941,True,True,True,True,True,True
3,IDO1,promising_candidate,high,7,0.682692307692308,0.259204287374941,True,True,True,True,True,True
4,CXCL10,known_sepsis_gene,high,7,0.615384615384615,0.547854839854228,True,True,True,True,True,True
5,IL5RA,promising_candidate,high,7,0.576923076923077,0.710606796033009,True,True,True,True,True,True
6,ARG1,known_sepsis_gene,high,7,0.548076923076923,0.778346406437991,True,True,True,True,True,True
7,AQP4,possible_mapping,medium,6,1.0,0.0008819782693395,True,True,False,True,True,True
8,CHI3L1,known_sepsis_gene,high,6,1.0,0.0008819782693395,True,False,True,True,True,True
9,GSS,possible_mapping,medium,6,1.0,0.0008819782693395,True,True,False,True,True,True
10,SLPI,known_sepsis_gene,high,6,1.0,0.0008819782693395,True,False,True,True,True,True
11,SAA2,known_sepsis_gene,high,6,0.980769230769231,0.0011082907324604,True,False,True,True,True,True
12,HP,known_sepsis_gene,high,6,0.778846153846154,0.0897430484922243,True,False,True,True,True,True
13,MMP8,known_sepsis_gene,high,6,0.586538461538462,0.687667450908661,True,False,True,True,True,True
14,MCEMP1,known_sepsis_gene,high,6,0.557692307692308,0.778346406437991,True,False,True,True,True,True
15,PPP1R1C,possible_mapping,medium,5,1.0,0.0008819782693395,True,False,False,True,True,True
16,KREMEN1,promising_candidate,medium,5,0.951923076923077,0.0021802863179311,True,False,False,True,True,True
17,PCOLCE2,known_sepsis_gene,high,5,0.75,0.124174428175689,True,False,False,True,True,True
18,ZNF608,promising_candidate,medium,5,0.75,0.124174428175689,True,False,False,True,True,True
19,BMX,known_sepsis_gene,high,5,0.721153846153846,0.182610345834019,True,False,False,True,True,True
20,TPST1,promising_candidate,medium,5,0.682692307692308,0.259204287374941,True,False,False,True,True,True
21,CUTALP,promising_candidate,medium,4,0.788461538461538,0.0834286639404988,False,False,False,True,True,True
22,LINC00189,promising_candidate,medium,4,0.548076923076923,0.778346406437991,False,False,False,True,True,True
23,ANKRD22,known_sepsis_gene,high,4,0.538461538461538,0.799903195381623,False,False,False,True,True,True
24,ALOX15,promising_candidate,high,4,,,True,True,True,False,False,False
25,CLEC4D,known_sepsis_gene,high,4,,,True,True,True,False,False,False
26,CLC,promising_candidate,high,3,,,True,False,True,False,False,False
27,WFDC1,known_sepsis_gene,high,3,,,True,False,True,False,False,False
28,ADGRE4P,promising_candidate,high,1,,,False,False,False,False,False,False
29,MIR3939,promising_candidate,medium,1,,,False,False,False,False,False,False
30,MIR548A1,promising_candidate,medium,1,,,False,False,False,False,False,False
31,LOC102723549,promising_candidate,medium,0,,,False,False,False,False,False,False
