"dataset","selected_identifier","gene_symbol","evidence_group","analysis_priority","comment","selected_identifier_clean","gene_symbol_clean","gene_for_scoring","has_orgdb_annotation","has_GO_annotation","has_KEGG_pathway","has_STRING_mapping","has_UniProt_sequence","detected_in_GEO_expression","has_sepsis_control_AUC","has_clinical_numeric_association","has_clinical_binary_association","integrated_score","has_STRING_mapping_repaired","has_STRING_interaction_repaired","has_sepsis_control_AUC_repaired","has_differential_expression_repaired","integrated_score_repaired","has_GSE13205_GPL570_probe_mapping","has_GSE13205_GPL570_DE","has_GSE13205_GPL570_AUC","GSE13205_GPL570_best_adj_p","GSE13205_GPL570_best_auc_directional","GSE13205_GPL570_direction","integrated_score_final_GPL570"
"GSE13205","NM_002965","IL6R","possible_candidate","medium","possible_gene_mapping_from_previous_step","NM_002965","IL6R","IL6R",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE,TRUE,0.000977274643966141,0.990384615384615,"higher_in_sepsis",7
"GSE69063","HRH4","HRH4","promising_candidate","high","promising_gene_from_previous_step","HRH4","HRH4","HRH4",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.259204287374941,0.682692307692308,"higher_in_sepsis",7
"GSE69063","IDO1","IDO1","promising_candidate","high","promising_gene_from_previous_step","IDO1","IDO1","IDO1",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.259204287374941,0.682692307692308,"lower_in_sepsis",7
"GSE12624","NM_004718","CXCL10","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","NM_004718","CXCL10","CXCL10",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.547854839854228,0.615384615384615,"lower_in_sepsis",7
"GSE69063","IL5RA","IL5RA","promising_candidate","high","promising_gene_from_previous_step","IL5RA","IL5RA","IL5RA",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.710606796033009,0.576923076923077,"higher_in_sepsis",7
"GSE69063","ARG1","ARG1","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","ARG1","ARG1","ARG1",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.778346406437991,0.548076923076923,"higher_in_sepsis",7
"GSE13205","U63622","AQP4","possible_mapping","medium","possible_gene_mapping_from_previous_step","U63622","AQP4","AQP4",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.000881978269339561,1,"lower_in_sepsis",6
"GSE13205","M80927","CHI3L1","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","M80927","CHI3L1","CHI3L1",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.000881978269339561,1,"higher_in_sepsis",6
"GSE13205","AK000947","GSS","possible_mapping","medium","possible_gene_mapping_from_previous_step","AK000947","GSS","GSS",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.000881978269339561,1,"higher_in_sepsis",6
"GSE13205","NM_003064","SLPI","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","NM_003064","SLPI","SLPI",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,0.000881978269339561,1,"higher_in_sepsis",6
"GSE13205","M23699","SAA2","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","M23699","SAA2","SAA2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,0.00110829073246047,0.980769230769231,"higher_in_sepsis",6
"GSE69063","HP","HP","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","HP","HP","HP",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,0.0897430484922243,0.778846153846154,"higher_in_sepsis",6
"GSE12624","NM_002424","MMP8","known_sepsis_gene","high","reported_as_sepsis_related_in_previous_step","NM_002424","MMP8","MMP8",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,0.687667450908661,0.586538461538462,"higher_in_sepsis",6
